"","IDCNTRY","IDBOOK","IDSCHOOL","IDCLASS","IDSTUD","IDGRADE","ITSEX","ITADMINI","ITLANG","MSBG01","MSBG03","MSBG04","MSBG05","MSBG06A","MSBG06B","MSBG06C","MSBG06D","MSBG06E","MSBG06F","MSBG06G","MSBG06H","MSBG06I","MSBG06J","MSBG07A","MSBG07B","MSBG08A","MSBG08B","MSBG09","MSBG10A","MSBG10B","MSBG10C","MSBG10D","MSBG10E","MSBG10F","MSBG10G","MSBG10H","MSBG10I","MSBG10J","MSBG10K","MSBG10L","MSBG10M","MSBG11A","MSBG11B","MSBG11C","MSBG11D","MSBG11E","MSBG11F","MSBG11G","MSBG11H","MSBG11I","MSBG12A","MSBG12B","MSBG13A","MSBG13B","MSBM14","MSBM15","MSBM16A","MSBM16B","MSBM17A","MSBM17BA","MSBM17BB","MSBM17BC","MSBM17C","MSBM18A","MSBM18B","MSBM18C","MSBM18D","MSBM18E","MSBM18F","MSBM18G","MSBM18H","MSBM18I","MSBM18J","MSBM18K","MSBM18L","MSBM18M","MSBM18N","MSBM18O","MSBM19A","MSBM19B","MSBM19C","MSBM19D","MSBM19E","MSBM19F","MSBM19G","MSBM20A","MSBM20B","MSBM20C","MSBM20D","MSBM20E","MSBM20F","MSBM20G","MSBM20H","MSBM20I","MSBM20J","MSBM20K","MSBM20L","MSBM21A","MSBM21B","MSBM21C","MSBM21D","MSBM21E","MSBM21F","MSBM21G","MSBM21H","MSBM21I","MSBM22A","MSBM22B","MSBM22C","MSBM22D","MSBM22E","MSBM22F","MSBM22G","MSBM22H","MSBM22I","MSBM23A","MSBM23B","MSBM23C","MSBM23D","MSBM23E","MSBM23F","MSBM23G","MSBM23H","ITACCOMM1","IDPOP","IDGRADER","MSDAGE","TOTWGT","HOUWGT","SENWGT","WGTADJ1","WGTADJ2","WGTADJ3","WGTFAC1","WGTFAC2","WGTFAC3","JKZONE","JKREP","MSMMAT01","MSMMAT02","MSMMAT03","MSMMAT04","MSMMAT05","MSMALG01","MSMALG02","MSMALG03","MSMALG04","MSMALG05","MSMCAL01","MSMCAL02","MSMCAL03","MSMCAL04","MSMCAL05","MSMGEO01","MSMGEO02","MSMGEO03","MSMGEO04","MSMGEO05","MSMKNO01","MSMKNO02","MSMKNO03","MSMKNO04","MSMKNO05","MSMAPP01","MSMAPP02","MSMAPP03","MSMAPP04","MSMAPP05","MSMREA01","MSMREA02","MSMREA03","MSMREA04","MSMREA05","MSMIBM01","MSMIBM02","MSMIBM03","MSMIBM04","MSMIBM05","MSBGHER","MSDGHER","MSBGEML","MSDGEML","MSBGSLM","MSDGSLM","MSBGSVM","MSDGSVM","MSBGSSB","MSDGSSB","MSDG06S","MSDGEDUP","MSDGOCCP","VERSION"
"1",840,4,1,101,10102,12,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,NA,NA,3,6,9,3,6,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,1,2,1,3,3,2,2,2,3,300,120,1,300,2,NA,NA,NA,NA,1,1,1,2,2,1,2,1,1,2,2,4,3,1,1,1,2,1,1,1,1,1,2,1,3,2,2,4,1,1,1,2,3,2,1,1,2,1,1,3,2,2,2,2,1,1,2,2,2,2,2,3,3,3,3,4,4,4,3,4,0,3,2,18,225.997366,1.4102,0.238693,1.4,1,1.153846,26.231837,1,5.333333,72,1,606.10219,623.33629,604.03468,639.44429,578.85623,563.51742,631.3692,564.35454,586.56024,565.07221,606.93075,654.57774,579.19634,572.03253,574.90748,524.95105,568.69807,491.29049,533.06933,561.94117,593.96216,640.41556,669.70457,620.8735,666.53874,605.05724,657.65039,622.12731,606.20177,617.45418,568.32682,586.09484,590.22647,579.04328,607.45711,3,3,3,4,3,13.29245,1,9.77786,2,11.53811,2,10.24631,2,9.17103,2,2,1,1,4
"2",840,5,1,101,10103,12,2,1,1,2,1,5,3,1,2,1,1,2,1,2,1,NA,NA,6,6,10,4,5,2,2,2,1,1,2,2,2,2,2,2,2,2,3,1,1,3,1,1,3,3,2,1,1,1,NA,260,10,2,NA,2,NA,NA,NA,NA,2,1,1,3,4,2,1,2,2,2,3,3,1,1,2,2,2,2,2,2,1,1,1,1,2,3,1,2,2,2,3,2,3,2,2,1,4,1,1,4,1,2,2,1,1,2,2,2,2,1,3,4,1,4,4,2,4,4,3,4,0,3,2,18.33,144.073321,0.899002,0.152167,1.4,1,1.153846,26.231837,1,3.4,72,1,416.78388,464.32675,476.33149,449.85762,478.06812,375.10869,433.09356,378.01538,450.80717,454.57381,418.3452,488.1214,399.27665,482.18576,513.07473,413.8078,415.89998,384.2685,470.08723,414.462,404.14004,427.83536,422.39035,412.28939,487.27746,446.8624,436.12883,445.79424,427.08967,449.53125,436.09998,483.01405,477.16331,439.36603,499.8124,1,1,2,1,2,11.62325,1,9.02315,2,10.02874,2,11.58834,1,8.8741,2,1,1,1,4
"3",840,6,1,101,10104,12,1,1,1,1,3,5,5,1,2,1,1,2,1,1,2,NA,NA,6,6,NA,11,5,1,1,2,2,2,1,2,2,2,2,2,2,2,3,2,1,3,2,2,3,2,1,2,2,2,4,560,120,2,NA,2,NA,NA,NA,NA,2,1,1,1,2,2,1,1,1,2,2,3,3,1,2,1,1,2,2,1,1,1,1,1,3,2,1,4,2,1,1,1,3,2,1,1,2,1,1,4,1,1,1,3,2,2,3,3,2,2,2,2,4,4,4,4,4,4,4,4,0,3,2,18.5,144.073321,0.899002,0.152167,1.4,1,1.153846,26.231837,1,3.4,72,1,677.2718,658.75269,593.33204,647.22521,587.29836,663.75624,673.89303,681.049,639.30775,638.03713,684.32231,649.77763,688.69178,620.80699,684.50934,657.42889,651.29804,630.30496,624.17972,633.26205,602.67443,674.02745,642.67634,580.75999,617.22745,614.00817,662.83939,687.29214,651.70188,610.22503,613.7943,696.11954,634.36392,604.62866,636.05746,4,4,3,4,3,13.29245,1,9.9868,2,12.23465,1,12.24486,1,8.10081,2,2,1,1,4
"4",840,2,1,101,10106,12,1,1,1,1,1,5,5,2,2,1,1,1,1,1,1,NA,NA,7,7,NA,11,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,1,3,3,3,3,2,2,1,1,NA,280,120,2,NA,1,2,1,1,1,2,2,3,4,4,3,4,2,3,2,2,3,3,2,3,2,1,2,2,2,1,1,3,3,1,4,4,1,4,4,4,4,1,4,2,2,1,1,1,2,1,3,2,2,1,1,1,2,1,1,1,3,4,3,4,4,4,4,4,4,0,3,2,18,144.073321,0.899002,0.152167,1.4,1,1.153846,26.231837,1,3.4,72,1,484.45819,539.41386,551.07726,456.17861,503.79684,534.46107,521.28954,474.63896,584.16571,573.61463,535.902,522.36087,504.23394,569.82828,549.82856,460.42754,466.91241,437.40826,493.82797,508.31189,507.37594,500.84975,549.96543,532.9,572.73303,558.1983,512.3819,541.75691,554.28232,549.93332,513.63419,481.48537,561.49625,542.09903,513.57579,2,2,3,1,2,13.29245,1,7.31924,3,4.74499,3,9.00052,2,10.62626,1,2,1,1,4
"5",840,3,1,101,10107,12,2,1,1,2,1,NA,4,1,2,1,1,2,1,1,1,NA,NA,6,6,9,NA,5,1,1,2,2,1,2,2,1,2,2,2,2,2,NA,1,NA,2,NA,NA,NA,NA,NA,2,NA,2,4,300,300,1,1500,2,NA,NA,NA,NA,3,4,4,3,3,2,4,3,3,1,3,4,3,1,4,1,1,1,2,1,1,1,3,2,2,3,2,3,2,2,2,2,3,2,1,1,3,NA,2,3,NA,NA,1,2,2,4,3,3,3,2,2,3,1,1,1,4,4,4,2,4,0,3,2,18.25,225.997366,1.4102,0.238693,1.4,1,1.153846,26.231837,1,5.333333,72,1,525.87657,537.06583,580.35545,523.92094,535.52533,499.48727,478.36866,477.38753,461.66958,476.7537,545.70555,546.27653,541.53051,518.96545,545.65267,470.54118,486.74619,499.22461,480.00236,518.61358,440.99147,453.59051,521.395,542.36287,510.98522,450.55889,468.91415,457.2434,517.71791,518.4662,534.34522,536.01744,536.84234,602.96206,538.172,2,2,3,2,2,11.74548,1,7.03109,3,9.61793,2,10.66615,2,7.44214,3,2,1,1,4
"6",840,4,1,101,10108,12,2,1,1,2,1,5,5,1,1,1,1,1,1,1,1,NA,NA,5,7,9,4,6,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,2,1,2,3,3,3,1,1,2,4,280,240,1,480,2,NA,NA,NA,NA,2,3,2,2,2,2,1,1,1,1,1,4,2,1,2,1,1,2,2,2,1,2,1,1,2,4,2,4,3,1,1,3,4,2,1,1,2,1,1,3,1,1,1,1,1,2,1,4,2,2,2,4,1,3,2,3,4,4,4,4,0,3,2,18.33,225.997366,1.4102,0.238693,1.4,1,1.153846,26.231837,1,5.333333,72,1,554.55583,490.10859,556.27881,595.62117,546.94893,562.82591,571.40861,535.42774,523.22309,585.44202,551.98944,563.54894,574.37798,521.59623,603.80291,566.87196,548.1201,531.54915,567.62745,571.95359,580.17534,561.81708,569.09872,576.1584,612.09714,569.44943,500.54953,553.9235,559.20565,581.44898,578.82187,558.03102,608.00563,625.74734,614.65534,3,2,3,3,2,13.29245,1,9.57837,2,10.47196,2,11.58834,1,8.59861,2,2,1,1,4
"7",840,6,1,101,10110,12,1,1,1,1,2,5,5,1,1,1,1,1,1,1,1,NA,NA,6,3,10,3,6,2,2,1,1,2,2,2,1,2,2,2,2,2,3,2,2,2,1,3,2,3,1,1,1,2,4,300,120,2,NA,2,NA,NA,NA,NA,1,1,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,1,2,2,3,2,2,2,2,4,2,2,1,3,1,1,4,1,2,2,2,2,1,2,1,1,1,1,2,4,4,4,4,4,4,4,4,0,3,2,17.67,144.073321,0.899002,0.152167,1.4,1,1.153846,26.231837,1,3.4,72,1,546.29176,528.03749,531.59009,567.07071,573.5522,568.87684,585.4724,598.28828,526.54654,573.27496,619.81136,606.9989,594.87766,562.66687,634.08464,538.17614,504.61749,564.70073,467.50521,575.06212,534.03935,565.27223,581.57919,608.77186,519.4985,511.58785,548.27,572.6602,572.82697,532.1826,513.93046,577.8357,594.10298,580.82286,530.47363,2,2,2,3,3,13.29245,1,10.20742,2,10.47196,2,11.07036,1,10.62626,1,2,1,1,4
"8",840,1,1,101,10111,12,1,1,1,1,1,5,4,1,2,1,1,2,1,1,1,NA,NA,6,7,NA,9,5,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,1,2,3,3,2,1,1,1,NA,270,180,1,180,1,2,2,1,1,2,1,1,2,3,2,2,2,3,2,1,2,4,1,2,1,1,2,1,2,1,1,2,1,1,4,2,2,2,3,4,2,4,1,1,1,3,1,1,3,1,1,1,2,1,1,1,1,2,1,2,3,4,4,4,4,4,4,4,4,0,3,2,17.5,144.073321,0.899002,0.152167,1.4,1,1.153846,26.231837,1,3.4,72,1,563.37424,583.61879,568.315,588.69508,571.23773,512.0523,573.41737,541.47555,566.46323,549.46513,596.30867,647.84467,616.80222,578.71967,607.74658,572.89482,608.27163,594.38507,574.99127,579.77932,575.63182,611.55207,576.75687,671.69628,513.20147,512.21183,524.97845,577.67951,607.2777,504.42288,535.02343,567.07685,571.04071,577.14842,494.28216,3,3,3,3,3,13.29245,1,9.02315,2,9.22759,2,12.24486,1,10.21291,2,2,1,1,4
"9",840,2,1,101,10112,12,2,1,1,2,1,4,3,1,2,1,1,2,1,1,2,NA,NA,6,5,8,NA,6,2,2,2,1,2,2,2,2,2,2,2,2,2,3,1,2,2,1,3,3,2,3,1,1,1,NA,245,120,2,NA,2,NA,NA,NA,NA,1,1,2,2,3,2,2,1,1,1,1,2,2,1,2,1,1,2,1,2,1,2,1,1,1,3,2,4,2,2,2,2,4,3,1,1,4,1,1,4,1,2,2,2,1,2,1,2,1,1,1,2,4,4,4,4,4,4,3,4,0,3,2,17.58,144.073321,0.899002,0.152167,1.4,1,1.153846,26.231837,1,3.4,72,1,565.12284,546.28083,570.73338,554.25783,547.1684,584.00604,537.2887,547.68628,536.15279,571.17934,569.79793,556.1145,584.43633,529.586,574.34045,510.34759,437.86635,560.08726,485.80708,521.68467,637.27146,520.16065,528.62094,559.64162,540.43897,578.02075,523.92221,510.64291,507.70505,525.94354,594.49149,545.7682,543.70119,528.48175,512.55292,3,2,3,3,2,9.51161,2,10.20742,2,10.2457,2,12.24486,1,10.62626,1,2,1,5,4
"10",840,3,1,101,10113,12,2,1,1,2,3,5,2,1,2,2,1,2,1,1,2,NA,NA,7,7,NA,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,2,2,1,2,3,2,2,1,1,1,NA,315,45,2,NA,2,NA,NA,NA,NA,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,4,1,1,1,1,4,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,0,3,2,18.42,225.997366,1.4102,0.238693,1.4,1,1.153846,26.231837,1,5.333333,72,1,668.39061,677.297,689.73151,647.20757,635.94275,635.69822,677.76618,724.51141,615.18343,684.49804,674.73178,724.8593,760.96182,689.76936,701.66628,632.33872,677.53316,657.49009,607.43831,632.97807,644.4872,677.59053,657.06503,670.30535,628.95495,652.46175,649.39324,657.80688,644.61217,667.60828,677.32075,695.11281,711.61098,642.46312,649.18277,4,4,4,4,4,13.29245,1,12.15065,1,14.72417,1,15.09728,1,13.98332,1,2,1,1,4
